N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
167,더존비즈온,"57,500","하락
				800",-1.37%,500,"17,470","30,383",9.91,"182,207",37.03,8.19,
168,한화인더스트리얼솔루션즈,"33,550","상승
				100",+0.30%,500,"16,939","50,488",22.79,"1,047,739",N/A,N/A,
169,씨에스윈드,"40,000","하락
				950",-2.32%,500,"16,869","42,171",13.30,"297,650",14.94,2.24,
170,ACE 미국S&P500,"21,510","하락
				255",-1.17%,0,"16,864","78,400",0.00,"632,822",N/A,N/A,
171,TIGER 차이나전기차SOLACTIVE,"8,940","하락
				45",-0.50%,0,"16,707","186,880",0.19,"1,002,178",N/A,N/A,
172,KODEX 코스닥150레버리지,"7,145","하락
				270",-3.64%,0,"16,684","233,500",0.49,"23,883,518",N/A,N/A,
173,한국앤컴퍼니,"17,500","상승
				390",+2.28%,500,"16,614","94,935",9.46,"147,834",4.48,4.76,
174,이수페타시스,"26,250","하락
				1,050",-3.85%,"1,000","16,602","63,246",12.78,"1,537,956",26.62,19.51,
175,KODEX 단기채권PLUS,"113,270","상승
				20",+0.02%,0,"16,442","14,516",0.00,"82,825",N/A,N/A,
176,코리안리,"8,050","하락
				190",-2.31%,500,"15,683","194,821",27.89,"388,959",5.92,9.51,
177,오뚜기,"387,000","하락
				2,000",-0.51%,"5,000","15,510","4,008",12.00,"4,403",9.91,8.55,
178,대웅제약,"133,800","상승
				3,200",+2.45%,"2,500","15,503","11,587",9.11,"46,602",14.97,17.70,
179,OCI홀딩스,"79,500","하락
				300",-0.38%,"5,000","15,206","19,127",20.33,"113,850",9.39,18.69,
180,롯데쇼핑,"53,600","하락
				300",-0.56%,"5,000","15,163","28,289",8.06,"52,012",-47.64,1.83,
181,호텔신라,"38,450","하락
				450",-1.16%,"5,000","15,091","39,248",12.92,"74,196",-45.45,14.98,
182,DB하이텍,"33,600","하락
				1,150",-3.31%,"5,000","14,918","44,399",24.90,"143,817",6.39,15.65,
183,GS건설,"17,420","하락
				780",-4.29%,"5,000","14,908","85,581",25.10,"627,775",-36.44,-10.54,
184,경동나비엔,"102,200","하락
				500",-0.49%,"1,000","14,889","14,569",11.15,"78,268",15.19,15.09,
185,풍산,"52,300","하락
				1,200",-2.24%,"5,000","14,657","28,024",21.59,"135,778",6.30,8.22,
186,에스엘,"31,550","하락
				250",-0.79%,500,"14,654","46,449",16.40,"41,569",3.94,18.83,
187,에스디바이오센서,"11,740","하락
				350",-2.89%,500,"14,614","124,477",7.28,"246,160",-23.11,-16.22,
188,DGB금융지주,"8,590","상승
				180",+2.14%,"5,000","14,530","169,146",42.37,"946,170",6.74,6.73,
189,GS리테일,"16,900","하락
				60",-0.35%,"1,000","14,130","83,607",8.95,"105,482",-20.81,0.44,
190,금호타이어,"4,745","하락
				20",-0.42%,"5,000","13,630","287,260",8.48,"316,637",4.06,13.20,
191,HD현대인프라코어,"7,060","하락
				70",-0.98%,"1,000","13,602","192,656",10.76,"714,157",22.85,13.37,
192,RISE 종합채권(A-이상)액티브,"108,130","하락
				200",-0.18%,0,"13,581","12,560",0.00,261,N/A,N/A,
193,한국콜마,"57,500","상승
				900",+1.59%,500,"13,573","23,605",34.01,"375,227",138.89,0.79,
194,일진전기,"28,250","상승
				400",+1.44%,"1,000","13,471","47,685",7.97,"789,698",31.67,9.65,
195,하이트진로,"19,150","하락
				560",-2.84%,"5,000","13,431","70,134",8.84,"419,577",12.48,3.16,
196,TIGER 25-10 회사채(A+이상)액티브,"54,245","상승
				15",+0.03%,0,"13,343","24,598",0.00,"154,786",N/A,N/A,
197,대우건설,"3,190","하락
				80",-2.45%,"5,000","13,258","415,623",11.81,"1,025,655",4.04,13.19,
198,ACE 미국나스닥100,"23,345","하락
				290",-1.23%,0,"12,980","55,600",0.07,"696,875",N/A,N/A,
199,신세계,"131,700","상승
				400",+0.30%,"5,000","12,966","9,845",13.60,"18,948",7.22,5.41,
200,KODEX 200선물인버스2X,"2,415","상승
				70",+2.99%,0,"12,872","533,000",1.51,"96,470,338",N/A,N/A,
